User Input,Polarity,Extracted Concern,Category,Intensity
The loan application has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My racing thoughts make me unable to sleep most nights.,Negative,unable to sleep,Insomnia,1
I'm constantly worried about my health issues.,Negative,constantly worried,Anxiety,2
I'm feeling hopeful about the new project.,Positive,feeling hopeful,Positive Outlook,3
These physical changes have me distressed over health progress.,Negative,distressed over health,Health Anxiety,3
I am sad right now,Negative,sad,Anxiety,4
My workload this month has me very stressed out.,Negative,very stressed,Stress,4
My day is clouded with sadness,Negative,sadness,Anxiety,4
I'm feeling sad beyond measure,Negative,feeling sad,Anxiety,4
Feeling happy and lighthearted,Positive,feeling happy,Positive Outlook,3
The medical test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm completely sad now,Negative,sad,Anxiety,4
I'm feeling hopeful about this meeting.,Positive,feeling hopeful,Positive Outlook,3
Meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I am sad,Negative,sad,Anxiety,4
Since dietary restrictions I'm worried about health nutrition.,Negative,worried about health,Health Anxiety,3
Just feeling rather lonely,Negative,feeling lonely,Anxiety,3
I'm happy today,Positive,happy,Positive Outlook,3
The doctor appointment has me a little stressed today.,Negative,little stressed,Stress,2
Shopping alone makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The tooth pain makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
Feeling sad and broken,Negative,feeling sad,Anxiety,4
The street lights outside mean I can't sleep well without blinds.,Negative,can't sleep well,Insomnia,2
These chest pains have me distressed over health concerns.,Negative,distressed over health,Health Anxiety,4
The ongoing monitoring has me distressed over health status.,Negative,distressed over health,Health Anxiety,3
I'm constantly worried about data privacy.,Negative,constantly worried,Anxiety,2
The counseling has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Since starting this diet I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
Since medical diagnosis I'm worried about health future.,Negative,worried about health,Health Anxiety,3
The medical concerns have me distressed over health status.,Negative,distressed over health,Health Anxiety,3
I'm feeling hopeful about my relationship.,Positive,feeling hopeful,Positive Outlook,3
The dental work makes me unable to eat normally.,Negative,unable to eat,Eating Disorder,1
My depression makes me unable to eat most days.,Negative,unable to eat,Eating Disorder,1
After reading my test results I'm worried about health implications.,Negative,worried about health,Health Anxiety,2
Flying makes me feeling little anxious sometimes.,Negative,feeling little anxious,Anxiety,1
I'm feeling happy,Positive,feeling happy,Positive Outlook,3
The system upgrade has me very stressed about downtime.,Negative,very stressed,Stress,4
Since family illness I'm worried about health inheritance.,Negative,worried about health,Health Anxiety,2
The code deployment has me very stressed about bugs.,Negative,very stressed,Stress,4
I am feeling incredibly happy,Positive,feeling happy,Positive Outlook,3
Night after night I'm unable to sleep despite trying everything.,Negative,unable to sleep,Insomnia,1
The yoga has me feeling much better.,Positive,feeling much better,Positive Outlook,3
After missing appointments I'm worried about health monitoring.,Negative,worried about health,Health Anxiety,2
My day is clouded with sadness,Negative,sadness,Anxiety,4
The missed train has me feeling very low.,Negative,feeling very low,Depression,2
Hospitals make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My financial situation has me extremely stressed these days.,Negative,extremely stressed,Stress,4
I'm sincerely happy today,Positive,happy,Positive Outlook,3
Cooking has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The messy desk has me feeling very low.,Negative,feeling very low,Depression,2
Small talk makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My situation has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about my parent's health.,Negative,constantly worried,Anxiety,2
On my budget I'm not eating properly or balanced meals.,Negative,not eating properly,Eating Disorder,1
I'm happy with the results,Positive,happy,Positive Outlook,3
The dental surgery left me unable to eat solid food.,Negative,unable to eat,Eating Disorder,1
The mortgage payment has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My day is filled with happiness,Positive,happiness,Positive Outlook,3
Time has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Taking photos makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm a little stressed about the weekend plans changing.,Negative,little stressed,Stress,2
After treatment changes I'm worried about health adaptation.,Negative,worried about health,Health Anxiety,3
The budget meeting has me very stressed about numbers.,Negative,very stressed,Stress,4
Winter makes me feeling depressed every year.,Negative,feeling depressed,Depression,4
I'm undeniably happy now,Positive,happy,Positive Outlook,3
I am sad right now,Negative,sad,Anxiety,4
The baby news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The lost charger has me feeling very low.,Negative,feeling very low,Depression,2
Coffee in the afternoon means I can't sleep well at night.,Negative,can't sleep well,Insomnia,2
The stress of deadlines means I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,1
I'm constantly worried about student loans.,Negative,constantly worried,Anxiety,2
I'm deeply feeling sad today,Negative,feeling sad,Anxiety,4
I'm constantly worried about missing deadlines.,Negative,constantly worried,Anxiety,2
The family gathering has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
These medical results have me distressed over health implications.,Negative,distressed over health,Health Anxiety,3
Meeting new people makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
My kids' school changes have me very stressed lately.,Negative,very stressed,Stress,4
This massage has me feeling little better.,Positive,feeling little better,Positive Outlook,3
With my blood pressure rising I'm worried about health risks.,Negative,worried about health,Health Anxiety,2
The expired food has me feeling very low.,Negative,feeling very low,Depression,2
Work has me very stressed with all these deadlines.,Negative,very stressed,Stress,4
The messy desk has me feeling very low.,Negative,feeling very low,Depression,2
These digestive issues have me distressed over health concerns.,Negative,distressed over health,Health Anxiety,4
My depression makes me unable to eat much.,Negative,unable to eat,Eating Disorder,1
I'm consistently happy lately,Positive,happy,Positive Outlook,3
My racing thoughts mean I'm unable to sleep without medication.,Negative,unable to sleep,Insomnia,1
These physical symptoms have me distressed over health decline.,Negative,distressed over health,Health Anxiety,3
The family diagnosis has me distressed over health inheritance.,Negative,distressed over health,Health Anxiety,4
My writer's block has me feeling depressed.,Negative,feeling depressed,Depression,4
The lost phone has me feeling very low.,Negative,feeling very low,Depression,2
The ongoing treatment has me distressed over health progress.,Negative,distressed over health,Health Anxiety,4
Despite being exhausted I can't sleep well and it's frustrating.,Negative,can't sleep well,Insomnia,2
During training I'm not eating properly enough.,Negative,not eating properly,Eating Disorder,1
The legal battle has me extremely stressed each day.,Negative,extremely stressed,Stress,4
The medication makes me unable to eat early.,Negative,unable to eat,Eating Disorder,1
I am feeling sad,Negative,feeling sad,Anxiety,4
My nausea makes me unable to eat breakfast.,Negative,unable to eat,Eating Disorder,1
The joy has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The grey skies have me feeling very low.,Negative,feeling very low,Depression,2
Pure sadness is consuming me,Negative,sadness,Anxiety,4
My chronic pain has me feeling depressed.,Negative,feeling depressed,Depression,4
Sadness engulfs me completely,Negative,sadness,Anxiety,4
Feeling sad to my core,Negative,feeling sad,Anxiety,4
Without planning I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
My heart is filled with happiness,Positive,happiness,Positive Outlook,3
I'm a little stressed about changing my diet.,Negative,little stressed,Stress,2
My car problems have me very stressed this week.,Negative,very stressed,Stress,4
These medical bills have me feeling depressed.,Negative,feeling depressed,Depression,4
The rest has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The stomach flu has me unable to eat anything solid.,Negative,unable to eat,Eating Disorder,1
Sadness engulfs me completely,Negative,sadness,Anxiety,4
The past month I have trouble sleeping and feel completely drained.,Negative,have trouble sleeping,Insomnia,4
Feeling sad and drained,Negative,feeling sad,Anxiety,4
This computer crash has me feeling depressed.,Negative,feeling depressed,Depression,4
My world is dark with sadness,Negative,sadness,Anxiety,4
The therapy sessions have me feeling much better.,Positive,feeling much better,Positive Outlook,3
Financial stress has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm terribly sad right now,Negative,sad,Anxiety,4
Work stress is making me unable to sleep properly.,Negative,unable to sleep,Insomnia,1
My career change has me feeling depressed.,Negative,feeling depressed,Depression,4
The upcoming surgery has me extremely stressed.,Negative,extremely stressed,Stress,4
My soul is drowning in sadness,Negative,sadness,Anxiety,4
I'm a little stressed about meeting my partner's family tomorrow.,Negative,little stressed,Stress,2
I am sad today,Negative,sad,Anxiety,4
The custody hearing has me extremely stressed.,Negative,extremely stressed,Stress,4
I'm particularly lonely right now,Negative,lonely,Anxiety,3
The stress of deadlines means I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
With my immune system I'm worried about health vulnerability.,Negative,worried about health,Health Anxiety,2
Today I'm extremely sad,Negative,sad,Anxiety,4
With my breathing issues I'm worried about health concerns.,Negative,worried about health,Health Anxiety,2
The forgotten anniversary has me feeling very low.,Negative,feeling very low,Depression,2
The medical test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The code review has me very stressed about feedback.,Negative,very stressed,Stress,4
The wedding speech has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Sadness weighs heavily on me,Negative,sadness,Anxiety,4
My heart is consumed by sadness,Negative,sadness,Anxiety,4
With my chronic pain I'm worried about health management.,Negative,worried about health,Health Anxiety,3
Work has me very stressed with all these deadlines.,Negative,very stressed,Stress,4
The family conflict has me feeling very low.,Negative,feeling very low,Depression,2
I'm feeling hopeful about this chance.,Positive,feeling hopeful,Positive Outlook,3
This visit has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I am sad,Negative,sad,Anxiety,4
These scary movies mean I have trouble sleeping when alone.,Negative,have trouble sleeping,Insomnia,4
Feeling sad and alone,Negative,feeling sad,Anxiety,4
I'm utterly sad right now,Negative,sad,Anxiety,4
Party planning makes me a little stressed.,Negative,little stressed,Stress,2
I'm persistently sad lately,Negative,sad,Anxiety,4
My allergies make me unable to sleep peacefully.,Negative,unable to sleep,Insomnia,1
After lab work I'm worried about health diagnostics.,Negative,worried about health,Health Anxiety,3
Sadness weighs heavily on me,Negative,sadness,Anxiety,4
I'm a little stressed about the minor home repairs.,Negative,little stressed,Stress,2
I'm feeling hopeful about my health now.,Positive,feeling hopeful,Positive Outlook,3
Since starting this diet I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
After environmental exposure I'm worried about health risks.,Negative,worried about health,Health Anxiety,2
During meetings I'm not eating properly or enough.,Negative,not eating properly,Eating Disorder,1
With my blood tests I'm worried about health indicators.,Negative,worried about health,Health Anxiety,3
This long commute has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about food prices.,Negative,constantly worried,Anxiety,2
These sleep problems have me distressed over health impact.,Negative,distressed over health,Health Anxiety,4
I'm constantly worried about climate change.,Negative,constantly worried,Anxiety,2
I'm deeply sad today,Negative,sad,Anxiety,4
My world is dark with sadness,Negative,sadness,Anxiety,4
I'm constantly worried about natural disasters.,Negative,constantly worried,Anxiety,2
My chronic migraines have me distressed over health impact.,Negative,distressed over health,Health Anxiety,4
Just feeling incredibly sad,Negative,feeling sad,Anxiety,4
I'm a little stressed about meeting my partner's family.,Negative,little stressed,Stress,2
Shopping alone makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The dental surgery left me unable to eat solid food.,Negative,unable to eat,Eating Disorder,1
My day is clouded with sadness,Negative,sadness,Anxiety,4
I'm feeling hopeful about the interview results.,Positive,feeling hopeful,Positive Outlook,3
I am happy with the results,Positive,happy,Positive Outlook,3
Sadness overwhelms me today,Negative,sadness,Anxiety,4
After health screening I'm worried about health results.,Negative,worried about health,Health Anxiety,3
My workload is making me extremely stressed and exhausted.,Negative,extremely stressed,Stress,4
Ever since the breakup I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,4
I'm a little stressed about the upcoming movie date.,Negative,little stressed,Stress,2
I'm unbearably sad today,Negative,sad,Anxiety,4
The empty house has me feeling depressed.,Negative,feeling depressed,Depression,4
Hospitals make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm constantly worried about water quality.,Negative,constantly worried,Anxiety,2
I've been feeling depressed since the accident.,Negative,feeling depressed,Depression,4
The ongoing treatment has me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,3
I am happy with the results,Positive,happy,Positive Outlook,3
This illness has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm sad,Negative,sad,Anxiety,4
I'm feeling little better after taking the medicine.,Positive,feeling little better,Positive Outlook,3
The holidays have me feeling very low.,Negative,feeling very low,Depression,2
The system upgrade has me very stressed about downtime.,Negative,very stressed,Stress,4
Video calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Video calls make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Feeling sad and empty,Negative,feeling sad,Anxiety,4
I'm deeply feeling sad today,Negative,feeling sad,Anxiety,4
The chronic condition has me distressed over health future.,Negative,distressed over health,Health Anxiety,3
The tax audit has me extremely stressed about paperwork.,Negative,extremely stressed,Stress,4
Family issues have me feeling very low.,Negative,feeling very low,Depression,2
The evaluation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The mild cold has me a little stressed about recovery.,Negative,little stressed,Stress,2
I'm sad right now,Negative,sad,Anxiety,4
I'm genuinely happy today,Positive,happy,Positive Outlook,3
I'm definitely happy today,Positive,happy,Positive Outlook,3
Sadness fills every part of me,Negative,sadness,Anxiety,4
My heart aches with sadness,Negative,sadness,Anxiety,4
Flying makes me feeling little anxious sometimes.,Negative,feeling little anxious,Anxiety,1
Feeling happy and content,Positive,feeling happy,Positive Outlook,3
The immigration process has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
With odd hours I'm not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
Sadness has taken over me,Negative,sadness,Anxiety,4
I'm constantly worried about my car breaking down.,Negative,constantly worried,Anxiety,2
My heart is heavy with sadness,Negative,sadness,Anxiety,4
These medical results have me distressed over health implications.,Negative,distressed over health,Health Anxiety,3
The immigration process has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The medical evaluation has me distressed over health findings.,Negative,distressed over health,Health Anxiety,3
The medical procedures have me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,4
The business pitch has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Feeling lonely and isolated,Negative,feeling lonely,Anxiety,3
I'm constantly worried about global conflicts.,Negative,constantly worried,Anxiety,2
The stained shirt has me feeling very low.,Negative,feeling very low,Depression,2
I'm feeling hopeful about this application.,Positive,feeling hopeful,Positive Outlook,3
The house move has me very stressed about packing everything.,Negative,very stressed,Stress,4
These nightmares mean I can't sleep well without fear.,Negative,can't sleep well,Insomnia,2
My midnight hunger makes me unable to sleep peacefully.,Negative,unable to sleep,Insomnia,1
Missing home has me feeling very low.,Negative,feeling very low,Depression,2
The sunshine has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The health concerns have me extremely stressed and anxious.,Negative,extremely stressed,Stress,4
Since last month I have trouble sleeping and it's affecting my work.,Negative,have trouble sleeping,Insomnia,4
The broken glasses has me feeling very low.,Negative,feeling very low,Depression,2
Since changing medications I'm worried about health adjustments.,Negative,worried about health,Health Anxiety,2
The neighbors are so loud that I can't sleep well most nights.,Negative,can't sleep well,Insomnia,2
Happiness flows through me today,Positive,happiness,Positive Outlook,3
The failed exam has me feeling very low.,Negative,feeling very low,Depression,2
With my test results I'm worried about health implications.,Negative,worried about health,Health Anxiety,3
My kids' school changes have me very stressed lately.,Negative,very stressed,Stress,4
I'm feeling hopeful about the job interview.,Positive,feeling hopeful,Positive Outlook,3
My days carry this loneliness,Negative,loneliness,Anxiety,3
My chronic pain means I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,1
I'm feeling sad,Negative,feeling sad,Anxiety,4
During overtime I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
The weekend parties next door mean I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,4
These billing errors have me feeling depressed.,Negative,feeling depressed,Depression,4
Sadness is crushing my spirit,Negative,sadness,Anxiety,4
Just feeling really happy,Positive,feeling happy,Positive Outlook,3
Rest has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Since starting this medication I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
I'm feeling hopeful about this change.,Positive,feeling hopeful,Positive Outlook,3
My day is filled with happiness,Positive,happiness,Positive Outlook,3
I'm completely sad now,Negative,sad,Anxiety,4
The ongoing issues have me distressed over health management.,Negative,distressed over health,Health Anxiety,3
The hospital bills have me extremely stressed about money.,Negative,extremely stressed,Stress,4
The genetic testing has me distressed over health predictions.,Negative,distressed over health,Health Anxiety,4
This win has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
After environmental exposure I'm worried about health risks.,Negative,worried about health,Health Anxiety,2
I'm inconsolably sad today,Negative,sad,Anxiety,4
The stolen bike has me feeling very low.,Negative,feeling very low,Depression,2
Since moving to the city I'm unable to sleep due to the noise.,Negative,unable to sleep,Insomnia,1
The final exam has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My life contains this loneliness,Negative,loneliness,Anxiety,3
My interview rejection has me feeling depressed.,Negative,feeling depressed,Depression,4
My fatigue makes me unable to eat regularly.,Negative,unable to eat,Eating Disorder,1
My health issues have me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about my children's safety.,Negative,constantly worried,Anxiety,2
Feeling sad and helpless,Negative,feeling sad,Anxiety,4
I can't shake this feeling of sadness,Negative,sadness,Anxiety,4
I'm intensely sad right now,Negative,sad,Anxiety,4
The joy has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The project review has me very stressed about feedback.,Negative,very stressed,Stress,4
Coffee doesn't even affect me anymore but I have trouble sleeping anyway.,Negative,have trouble sleeping,Insomnia,4
The dropped ice cream has me feeling very low.,Negative,feeling very low,Depression,2
Recovery has me feeling depressed sometimes.,Negative,feeling depressed,Depression,4
My life is shrouded in sadness,Negative,sadness,Anxiety,4
Recent dizzy spells have me distressed over health stability.,Negative,distressed over health,Health Anxiety,4
The upcoming audit has me very stressed about documentation.,Negative,very stressed,Stress,4
My world is dark with sadness,Negative,sadness,Anxiety,4
Living next to the highway means I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,4
With tight budgets I'm not eating properly lately.,Negative,not eating properly,Eating Disorder,1
Sadness is crushing my spirit,Negative,sadness,Anxiety,4
Feeling sad and lost,Negative,feeling sad,Anxiety,4
The locked door has me feeling very low.,Negative,feeling very low,Depression,2
My stomach ache makes me unable to eat today.,Negative,unable to eat,Eating Disorder,1
The missed call has me feeling very low.,Negative,feeling very low,Depression,2
My life is full of happiness,Positive,happiness,Positive Outlook,3
Just feeling incredibly sad,Negative,feeling sad,Anxiety,4
The news today has me feeling very low.,Negative,feeling very low,Depression,2
The medical test results have me extremely stressed and worried.,Negative,extremely stressed,Stress,4
Sadness overwhelms me today,Negative,sadness,Anxiety,4
Today I am feeling sad,Negative,feeling sad,Anxiety,4
The slow internet has me feeling very low.,Negative,feeling very low,Depression,2
My landlord's notice has me feeling depressed.,Negative,feeling depressed,Depression,4
The stomach pain makes me unable to eat much.,Negative,unable to eat,Eating Disorder,1
I'm remarkably happy right now,Positive,happy,Positive Outlook,3
I'm feeling hopeful about growth now.,Positive,feeling hopeful,Positive Outlook,3
Such loneliness in my heart,Negative,loneliness,Anxiety,3
The rainy vacation has me feeling very low.,Negative,feeling very low,Depression,2
My heart echoes with loneliness,Negative,loneliness,Anxiety,3
The home inspection has me very stressed.,Negative,very stressed,Stress,4
This printer jam has me feeling depressed.,Negative,feeling depressed,Depression,4
The loneliness has me feeling depressed lately.,Negative,feeling depressed,Depression,4
The full moon makes it so I can't sleep well.,Negative,can't sleep well,Insomnia,2
Today I am feeling sad,Negative,feeling sad,Anxiety,4
The wrong turn has me feeling very low.,Negative,feeling very low,Depression,2
I'm happy right now,Positive,happy,Positive Outlook,3
I'm feeling very low after moving to a new city.,Negative,feeling very low,Depression,2
This illness has me feeling depressed.,Negative,feeling depressed,Depression,4
Tight spaces make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Sadness fills every part of me,Negative,sadness,Anxiety,4
The vacation has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My morning sickness makes me unable to eat breakfast.,Negative,unable to eat,Eating Disorder,1
My racing thoughts mean I'm unable to sleep without medication.,Negative,unable to sleep,Insomnia,1
Party planning makes me a little stressed.,Negative,little stressed,Stress,2
The food poisoning has me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
The small gathering has me a little stressed about hosting.,Negative,little stressed,Stress,2
Since physical decline I'm worried about health progression.,Negative,worried about health,Health Anxiety,3
My toothache makes me unable to eat properly.,Negative,unable to eat,Eating Disorder,1
My partner's snoring means I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,1
I'm a little stressed about the upcoming driving test.,Negative,little stressed,Stress,2
The panic attacks leave me unable to eat when anxious.,Negative,unable to eat,Eating Disorder,1
I'm feeling hopeful about this day.,Positive,feeling hopeful,Positive Outlook,3
My struggle with weight has me feeling depressed.,Negative,feeling depressed,Depression,4
As a volunteer I'm not eating properly between tasks.,Negative,not eating properly,Eating Disorder,1
Feeling sad and defeated,Negative,feeling sad,Anxiety,4
The ongoing monitoring has me distressed over health stability.,Negative,distressed over health,Health Anxiety,3
The visa renewal has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
This award has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm genuinely happy right now,Positive,happy,Positive Outlook,3
I'm a little stressed about choosing the right college major.,Negative,little stressed,Stress,2
My birthday has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm a little stressed about starting at the new gym.,Negative,little stressed,Stress,2
The seasonal changes mean I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
This day has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The ongoing fatigue has me distressed over health concerns.,Negative,distressed over health,Health Anxiety,4
The eviction notice has me extremely stressed and scared.,Negative,extremely stressed,Stress,4
These unexplained symptoms have me distressed over health issues.,Negative,distressed over health,Health Anxiety,4
I'm constantly worried about market crashes.,Negative,constantly worried,Anxiety,2
My dead battery has me feeling depressed.,Negative,feeling depressed,Depression,4
Happy thoughts fill my mind,Positive,happy,Positive Outlook,3
I'm feeling hopeful about tomorrow now.,Positive,feeling hopeful,Positive Outlook,3
I'm a little stressed about the minor surgery next month.,Negative,little stressed,Stress,2
The medical procedures have me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,4
Feeling sad to my core,Negative,feeling sad,Anxiety,4
The medical uncertainty has me distressed over health future.,Negative,distressed over health,Health Anxiety,4
My heart is heavy with sadness,Negative,sadness,Anxiety,4
My heart is consumed by sadness,Negative,sadness,Anxiety,4
I can't stop feeling happy,Positive,feeling happy,Positive Outlook,3
Managing the team project has me very stressed.,Negative,very stressed,Stress,4
Working night shifts has me not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
My nausea makes me unable to eat in the mornings.,Negative,unable to eat,Eating Disorder,1
This love has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Team meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The song has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My heart is filled with happiness,Positive,happiness,Positive Outlook,3
The chronic symptoms have me distressed over health management.,Negative,distressed over health,Health Anxiety,4
The health screening has me distressed over health findings.,Negative,distressed over health,Health Anxiety,3
This slow computer has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm desperately sad today,Negative,sad,Anxiety,4
The surgery makes me unable to eat solid food.,Negative,unable to eat,Eating Disorder,1
I'm perfectly happy now,Positive,happy,Positive Outlook,3
The sunrise today has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
Recent events have me feeling very low.,Negative,feeling very low,Depression,2
The pressure has me feeling very low.,Negative,feeling very low,Depression,2
The hug has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Loneliness follows me everywhere,Negative,loneliness,Anxiety,3
I'm intensely sad right now,Negative,sad,Anxiety,4
With my medical history I'm worried about health patterns.,Negative,worried about health,Health Anxiety,3
Feeling happy and inspired,Positive,feeling happy,Positive Outlook,3
Sadness engulfs me completely,Negative,sadness,Anxiety,4
I'm truly feeling lonely today,Negative,feeling lonely,Anxiety,3
The mortgage payment has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
During gaming sessions I'm not eating properly at all.,Negative,not eating properly,Eating Disorder,1
I can't shake this feeling of loneliness,Negative,loneliness,Anxiety,3
The medical concerns have me distressed over health status.,Negative,distressed over health,Health Anxiety,3
Changes in life have me feeling depressed.,Negative,feeling depressed,Depression,4
The project handover has me very stressed about training.,Negative,very stressed,Stress,4
Since turning forty I'm worried about health changes.,Negative,worried about health,Health Anxiety,2
The cat running around means I have trouble sleeping sometimes.,Negative,have trouble sleeping,Insomnia,4
The market presentation has me very stressed this week.,Negative,very stressed,Stress,4
My heart aches with sadness,Negative,sadness,Anxiety,4
Today I am feeling sad,Negative,feeling sad,Anxiety,4
The upcoming move has me very stressed.,Negative,very stressed,Stress,4
The spam emails have me feeling very low.,Negative,feeling very low,Depression,2
The illness makes me unable to eat regular meals.,Negative,unable to eat,Eating Disorder,1
Learning to drive has me a little stressed at times.,Negative,little stressed,Stress,2
I'm a little stressed about the weekend plans changing.,Negative,little stressed,Stress,2
Sadness fills every part of me,Negative,sadness,Anxiety,4
I'm a little stressed about picking an outfit for the date.,Negative,little stressed,Stress,2
My delayed payment has me feeling depressed.,Negative,feeling depressed,Depression,4
The performance review has me very stressed.,Negative,very stressed,Stress,4
During interviews I'm not eating properly all day.,Negative,not eating properly,Eating Disorder,1
The casual meeting has me a little stressed today.,Negative,little stressed,Stress,2
I've been taking melatonin but still can't sleep well at all.,Negative,can't sleep well,Insomnia,2
I'm happy to hear that,Positive,happy,Positive Outlook,3
With my family background I'm worried about health predisposition.,Negative,worried about health,Health Anxiety,2
My restless legs mean I can't sleep well most nights.,Negative,can't sleep well,Insomnia,2
While traveling I'm not eating properly at all.,Negative,not eating properly,Eating Disorder,1
The problems have me feeling very low.,Negative,feeling very low,Depression,2
My recent diagnosis has me distressed over health outcomes.,Negative,distressed over health,Health Anxiety,4
This weight gain has me feeling depressed.,Negative,feeling depressed,Depression,4
Since diagnosis received I'm worried about health future.,Negative,worried about health,Health Anxiety,3
I can't shake this feeling of sadness,Negative,sadness,Anxiety,4
This grade has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My throat pain makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
The street noise means I can't sleep well in this apartment.,Negative,can't sleep well,Insomnia,2
My heart is heavy with sadness,Negative,sadness,Anxiety,4
The food poisoning has me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
My heart aches with sadness,Negative,sadness,Anxiety,4
The empty inbox has me feeling very low.,Negative,feeling very low,Depression,2
The client feedback has me very stressed about changes.,Negative,very stressed,Stress,4
This long commute has me feeling depressed.,Negative,feeling depressed,Depression,4
My chronic pain means I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,1
My back pain makes me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
This bliss has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The hug has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Group projects make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Travel makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm constantly worried about future plans.,Negative,constantly worried,Anxiety,2
Pets have me feeling little better.,Positive,feeling little better,Positive Outlook,3
These blood tests have me distressed over health status.,Negative,distressed over health,Health Anxiety,4
This burnt dinner has me feeling depressed.,Negative,feeling depressed,Depression,4
My new medication is making it so I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
The client meeting has me very stressed about preparation.,Negative,very stressed,Stress,4
The ulcer leaves me unable to eat certain foods.,Negative,unable to eat,Eating Disorder,1
The house repairs have me very stressed now.,Negative,very stressed,Stress,4
